,token,rate
317,带血,2.0
318,干到,2.0
319,干哭,2.0
320,干坏,2.0
321,干塌,2.0
322,干夜,2.0
323,干女,3.0
324,干射,2.0
325,干晕,2.0
326,干死,2.0
327,干淫,3.0
328,干炮,3.0
329,干爹,2.0
330,干破,2.0
331,干穴,3.0
332,干翻,2.0
333,干进,2.0
334,干骚,3.0
335,平骚,3.0
336,幽会,2.0
337,床上,2.0
338,床头,2.0
339,床战,3.0
340,床技,3.0
341,床片,2.0
342,应召,2.0
343,底线,2.0
344,开干,2.0
345,开房,3.0
346,开放,2.0
347,开档,2.0
348,开苞,3.0
349,开草,2.0
350,开裆,2.0
351,弄姿,2.0
352,弄射,2.0
353,弄湿,2.0
354,引诱,2.0
355,弯腰,2.0
356,强制,2.0
357,强女,2.0
358,强奸,3.0
359,强来,2.0
360,强片,
361,强行,2.0
362,录像,2.0
363,征服,2.0
364,微博萝莉,2.0
365,微毛,2.0
366,微虐,2.0
367,微露,2.0
368,必射,2.0
369,忍不住,2.0
370,怒射,2.0
371,怒草,3.0
372,性交,3.0
373,性伴侣,3.0
374,性关系,3.0
375,性冲动,3.0
376,性器,3.0
377,性器官,3.0
378,性奴,3.0
379,性徒,3.0
380,性感,2.0
381,性感女,3.0
382,性感美,2.0
383,性欲,3.0
384,性欲强,3.0
385,性派对,3.0
386,性爱,3.0
387,性爱椅,3.0
388,性爱片,3.0
389,性片,3.0
390,性生活,3.0
391,性福,3.0
392,性虐待,3.0
393,性贿赂,3.0
394,恋夜,2.0
395,恋物癖,2.0
396,情人,2.0
397,情夫,2.0
398,情妇,2.0
399,情爱,2.0
400,情话,2.0
401,情趣,2.0
402,情趣内衣,3.0
403,情趣用品,3.0
404,惨状,3.0
405,想射,2.0
406,想要,2.0
407,意淫,2.0
408,成人,2.0
409,所欲,2.0
410,手淫,3.0
411,扑倒,2.0
412,扒开,2.0
413,打屁股,2.0
414,打桩,2.0
415,打桩机,2.0
416,打泡,2.0
417,打炮,3.0
418,扣穴,3.0
419,扭玩,2.0
420,扮演,2.0
421,技师,2.0
422,技校,2.0
423,抗插,2.0
424,折磨,2.0
425,抚摸,2.0
426,护士,2.0
427,抽出,2.0
428,抽插,3.0
429,抽搐,2.0
430,抽查,2.0
431,拉屎,2.0
432,拍骚,2.0
433,拔出来,2.0
434,拜金女,2.0
435,拳交,3.0
436,指奸,3.0
437,按摩,2.0
438,按摩房,2.0
439,挑逗,3.0
440,挣扎,2.0
441,挤出来,2.0
442,挤挤,2.0
443,振动器,2.0
444,挺拔,2.0
445,捂着脸,2.0
446,捆着,2.0
447,捆绑,2.0
448,捉奸,3.0
449,换取,2.0
450,排卵,2.0
451,接客,2.0
452,接插,2.0
453,推倒,2.0
454,推摸,2.0
455,推油,3.0
456,推车,2.0
457,掰开,2.0
458,揉捏,2.0
459,提枪,2.0
460,插入,2.0
461,插出,2.0
462,插口,2.0
463,插嘴,2.0
464,插射,3.0
465,插式,2.0
466,插死,2.0
467,插比,3.0
468,插淫,3.0
469,插穴,3.0
470,插起来,2.0
471,插进,2.0
472,插进去,2.0
473,插进来,2.0
474,插骚,3.0
475,揩油,2.0
476,搂抱,2.0
477,搔首,2.0
478,搞完,2.0
479,搞射,3.0
480,搞醒,3.0
481,搭讪,2.0
482,摆布,2.0
483,摧残,2.0
484,摸奶,3.0
485,摸摸,2.0
486,摸穴,3.0
487,撒尿,2.0
488,撕坏,2.0
489,撕掉,2.0
490,撕烂,2.0
491,撕裂,2.0
492,播露,3.0
493,撸,2.0
494,撸管,3.0
495,操上,3.0
496,操下,2.0
497,操会,2.0
498,操出,3.0
499,操到,3.0
500,操听,2.0
501,操命,2.0
502,操哭,3.0
503,操坏,3.0
504,操塌,3.0
505,操大,3.0
506,操女,2.0
507,操好,3.0
508,操完,3.0
509,操尿,3.0
510,操干,2.0
511,操得,3.0
512,操掉,3.0
513,操晕,3.0
514,操有,2.0
515,操服,3.0
516,操死,3.0
517,操水,2.0
518,操求,2.0
519,操爆,3.0
520,操瘫,3.0
521,操穴,3.0
522,操练,2.0
523,操翻,3.0
524,操肿,3.0
525,操著,2.0
526,操过,3.0
527,操送,2.0
528,操逼,3.0
529,操醒,3.0
530,操骚,3.0
531,操高,2.0
532,擦边,2.0
533,擦边球,2.0
534,放尿,3.0
535,放片,2.0
536,放荡,3.0
537,放药,2.0
538,放进去,2.0
539,无毛,2.0
540,早泄,3.0
541,早熟,2.0
542,春宫,3.0
543,春心,3.0
544,春情,3.0
545,春水,3.0
546,春药,3.0
547,晃动,2.0
548,晨炮,3.0
549,暗示,2.0
550,暴力,2.0
551,暴好,2.0
552,暴干,3.0
553,暴打,2.0
554,暴插,3.0
555,暴虐,2.0
556,暴露,2.0
557,月经,2.0
558,服侍,2.0
559,来潮,2.0
560,查房,2.0
561,校花,2.0
562,棒棒,2.0
563,模私,3.0
564,横流,2.0
565,欠下,2.0
566,欢娱,2.0
567,欲女,3.0
568,欲望,3.0
569,欲求,3.0
570,欲火,3.0
571,歌姬,2.0
572,正女,3.0
573,正妹,2.0
574,正点,2.0
575,殴打,3.0
576,母狗,2.0
577,毒打,3.0
578,毒龙,2.0
579,毛片,3.0
580,毛粉,2.0
581,水太,2.0
582,水女,2.0
583,水床,2.0
584,求约,2.0
585,求饶,2.0
586,沐浴,2.0
587,没射,2.0
588,没脱,2.0
589,沦为,2.0
590,沾湿,2.0
591,泄火,2.0
592,泡到,2.0
593,泻火,2.0
594,洗洗,2.0
595,洗浴,2.0
596,洗澡,2.0
597,洗脚,2.0
598,洞房,2.0
599,活好,2.0
600,流出,2.0
601,流氓,2.0
602,流水,2.0
603,流淫,3.0
604,浪友,2.0
605,浪得,2.0
606,浪荡,3.0
607,浪货,3.0
608,浴场,2.0
609,涂身,2.0
610,润滑,2.0
611,淋漓,2.0
612,淫,2.0
613,淫乱,3.0
614,淫声,3.0
615,淫女,3.0
616,淫妇,3.0
617,淫情,3.0
618,淫棍,3.0
619,淫水,3.0
620,淫液,3.0
621,淫片,3.0
622,淫荡,3.0
623,淫荡女,3.0
624,淫荡小,3.0
625,淫词,3.0
626,淫语,3.0
627,淫骚,3.0
628,淫魔,3.0
629,深入,2.0
630,温存,2.0
631,渴望,2.0
632,湿身,2.0
633,滴蜡,2.0
634,漏出,2.0
635,漏比,2.0
636,潜规则,2.0
637,潮吹,3.0
638,潮时,2.0
639,激凸,3.0
640,激情,2.0
641,激战,2.0
642,灌晕,2.0
643,灌满,2.0
644,火焚,2.0
645,灰丝,2.0
646,炮人,2.0
647,炮击,2.0
648,炮友,3.0
649,炮图,3.0
650,炮战,3.0
651,炮机,3.0
652,炮架,3.0
653,炮白富,3.0
654,炮约,3.0
655,炮露,3.0
656,点高潮,3.0
657,烂醉,2.0
658,热舞,2.0
659,焚身,2.0
660,熟女,2.0
661,熟妇,2.0
662,爆丰,3.0
663,爆乳,3.0
664,爆乳人,3.0
665,爆出,2.0
666,爆后,2.0
667,爆吞,3.0
668,爆大,2.0
669,爆奶,3.0
670,爆射,3.0
671,爆干,3.0
672,爆扣,2.0
673,爆拳,2.0
674,爆插,3.0
675,爆淫,3.0
676,爆爱,3.0
677,爆粗,3.0
678,爆精,3.0
679,爆胸,3.0
680,爆草,3.0
681,爆菊,3.0
682,爱丝,2.0
683,爱女,2.0
684,爱液,3.0
685,爱爱,2.0
686,特骚,3.0
687,犯滥,2.0
688,犹存,2.0
689,狂叫,2.0
690,狂射,2.0
691,狂干口,2.0
692,狂日,3.0
693,狂草,2.0
694,狂虐,2.0
695,狐媚,2.0
696,狐狸精,2.0
697,狗奴,2.0
698,狼友,3.0
699,猎艳,2.0
700,猛入,2.0
701,猛射,2.0
702,猛料,2.0
703,猛草,2.0
704,猥亵,3.0
705,献出,2.0
706,献身,2.0
707,猴急,2.0
708,玉女,2.0
709,玩坏,2.0
710,玩弄,2.0
711,玩淫,3.0
712,玩穴,3.0
713,玩累,2.0
714,玩虐,2.0
715,玩骚,3.0
716,环肥燕瘦,2.0
717,班花,2.0
718,用力插,2.0
719,电女,2.0
720,男干,2.0
721,番号,2.0
722,痴女,3.0
723,瘫坐,2.0
724,瘫软,2.0
725,白浆,2.0
726,百合,2.0
727,皮条,3.0
728,盗录,2.0
729,直喊,2.0
730,直播,2.0
731,真他妈,3.0
732,睡不着,2.0
733,矜持,2.0
734,知性,2.0
735,知性美,2.0
736,破处,3.0
737,破红,2.0
738,破身,3.0
739,禽兽,2.0
740,私处,2.0
741,私房,2.0
742,私生活,2.0
743,私通,2.0
744,秘书,2.0
745,穴道,2.0
746,空姐,2.0
747,空虚,2.0
748,窑姐,3.0
749,窒息,2.0
750,窥探,2.0
751,竖起,2.0
752,粉穴,3.0
753,粗口,2.0
754,精关,3.0
755,精厕,3.0
756,精口,3.0
757,精壶,3.0
758,精子,2.0
759,精射,3.0
760,精油,2.0
761,精液,3.0
762,糟蹋,2.0
763,素人,2.0
764,紧逼,2.0
765,红穴,3.0
766,约见,2.0
767,绑架,2.0
768,绑缚,2.0
769,绑起来,2.0
770,结过婚,2.0
771,绝色,2.0
772,绿了,2.0
773,绿帽,3.0
774,缓交,2.0
775,网约,2.0
776,网袜,2.0
777,美女,2.0
778,美女视频,2.0
779,美妹,2.0
780,羞死,2.0
781,群交,3.0
782,翘乳,2.0
783,翘着,2.0
784,翘起,2.0
785,老汉推车,3.0
786,耐草,3.0
787,耳光,2.0
788,耻辱,2.0
789,肆射,2.0
790,肉丝,2.0
791,肉体,2.0
792,肉感,2.0
793,肉棒,3.0
794,肉欲,3.0
795,肉洞,3.0
796,肉蒲团,3.0
797,肏,3.0
798,肚兜,2.0
799,肛交,3.0
800,肛塞,3.0
801,肛门,2.0
802,肤白奶,3.0
803,肥乳,3.0
804,肿大,2.0
805,肿起来,2.0
806,背叛,2.0
807,胯下,2.0
808,胸器,3.0
809,胸围,2.0
810,胸妹,3.0
811,胸射,3.0
812,胸扣,3.0
813,胸湖,3.0
814,胸罩,2.0
815,胸脯,2.0
816,胸部,2.0
817,能射,2.0
818,脏话,2.0
819,脱下,2.0
820,脱下来,2.0
821,脱光,2.0
822,脱想,2.0
823,脱掉,2.0
824,脱给,2.0
825,脱脱,2.0
826,脱衣,2.0
827,脱裤子,2.0
828,臀小,2.0
829,臀粉,3.0
830,臀部,2.0
831,臀露,3.0
832,自慰,3.0
833,自拍,2.0
834,自摸,2.0
835,自渎,2.0
836,自爱,2.0
837,舔着,2.0
838,舔阴,3.0
839,良家,2.0
840,色情,3.0
841,色狼,2.0
842,色诱,3.0
843,色霸,3.0
844,色魔,2.0
845,艳照,3.0
846,艳舞,3.0
847,艳遇,3.0
848,草泥马,2.0
849,草骚,3.0
850,荡女,3.0
851,荡妇,3.0
852,荡漾,2.0
853,菊花,2.0
854,萌妹,2.0
855,萎缩,2.0
856,萝莉型,2.0
857,萝莉女,2.0
858,虐待,2.0
859,蛋蛋,2.0
860,蛮浪,3.0
861,蜂腰,2.0
862,蜜液,2.0
863,蜜穴,3.0
864,血块,2.0
865,行窃,2.0
866,袒胸,2.0
867,被绑,2.0
868,装露,2.0
869,裙底,2.0
870,裤衩,2.0
871,裸体,2.0
872,裸成,2.0
873,裸播,3.0
874,裸替,2.0
875,裸照,3.0
876,裸着,2.0
877,裸睡,3.0
878,裸聊,3.0
879,裸舞,3.0
880,裸身,3.0
881,裸露,2.0
882,要射,2.0
883,观音坐莲,3.0
884,解开,2.0
885,解欲,2.0
886,警花,2.0
887,诱人,2.0
888,诱奸,3.0
889,诱心,2.0
890,诱惑,2.0
891,诱骗,2.0
892,调养,2.0
893,调情,2.0
894,调戏,2.0
895,豪乳,3.0
896,豪放,2.0
897,貌美,2.0
898,货浪,3.0
899,货色,2.0
900,贱货,3.0
901,贵妇,2.0
902,贿赂,2.0
903,赌博,2.0
904,赌场,2.0
905,赤身,2.0
906,走私,2.0
907,起不来,2.0
908,超大,2.0
909,超有,2.0
910,超正,2.0
911,超水,2.0
912,超淫,3.0
913,超清,2.0
914,超爽,2.0
915,超紧,2.0
916,超纯,2.0
917,超诱,2.0
918,超骚,3.0
919,足交,3.0
920,趴下,2.0
921,趴在,2.0
922,趴着,2.0
923,跑友,2.0
924,跟踪,2.0
925,跪坐,2.0
926,跳舞,2.0
927,蹂躏,2.0
928,蹄子,2.0
929,身材,2.0
930,车震,3.0
931,轮奸,3.0
932,轮干,3.0
933,轮流,2.0
934,轮著,2.0
935,辣妈,2.0
936,辣妹,2.0
937,进逼,2.0
938,迭起,2.0
939,迷倒,2.0
940,迷奸,3.0
941,迷射,3.0
942,迷昏,2.0
943,迷晕,2.0
944,迷死人,2.0
945,迷歼,2.0
946,迷离,2.0
947,迷翻,2.0
948,迷迷,2.0
949,送上门,2.0
950,透明装,2.0
951,通奸,3.0
952,造爱,3.0
953,逼味,3.0
954,逼够,3.0
955,逼射,3.0
956,逼水,3.0
957,逼求,2.0
958,逼潮,3.0
959,逼照,3.0
960,逼痒,3.0
961,逼破,2.0
962,逼紧,3.0
963,逼肥,3.0
964,逼逼,2.0
965,遮挡,2.0
966,避孕,2.0
967,避孕套,2.0
968,酒吧女,2.0
969,酒店,2.0
970,酒醉,2.0
971,酥胸,3.0
972,酷刑,2.0
973,采精,3.0
974,采花,2.0
975,野合,3.0
976,野炮,3.0
977,野猫,2.0
978,野鸡,2.0
979,钢管,2.0
980,钢管舞,2.0
981,销魂,2.0
982,闷骚,2.0
983,阳具,3.0
984,阳痿,3.0
985,阴唇,3.0
986,阴器,3.0
987,阴毛,3.0
988,阴液,3.0
989,阴茎,3.0
990,阴蒂,3.0
991,阴道,3.0
992,陪酒,2.0
993,隆胸,2.0
994,难耐,2.0
995,露出,2.0
996,露奶,3.0
997,露点,3.0
998,露脸,2.0
999,露露,2.0
1000,露骚,3.0
1001,青色,2.0
1002,靓妞,2.0
1003,靓妹,2.0
1004,韵味,2.0
1005,韵妇,2.0
1006,顶不住,2.0
1007,顶坏,2.0
1008,风月,2.0
1009,风韵,2.0
1010,风骚,3.0
1011,饥渴,2.0
1012,骑上来,2.0
1013,骑乘,2.0
1014,骑射,2.0
1015,骑骚,3.0
1016,骚人,3.0
1017,骚到,3.0
1018,骚劲,3.0
1019,骚叫,3.0
1020,骚味,2.0
1021,骚好,3.0
1022,骚妇,3.0
1023,骚妹,3.0
1024,骚床,3.0
1025,骚得,2.0
1026,骚情,3.0
1027,骚想,3.0
1028,骚扰,2.0
1029,骚批,3.0
1030,骚摇著,2.0
1031,骚有,2.0
1032,骚样,3.0
1033,骚比,3.0
1034,骚气,3.0
1035,骚水,3.0
1036,骚浪,3.0
1037,骚熟,3.0
1038,骚级,3.0
1039,骚装,3.0
1040,骚话,2.0
1041,骚语,3.0
1042,骚货,3.0
1043,骚逼,3.0
1044,高利贷,2.0
1045,高涨,2.0
1046,鲜妹,2.0
1047,鸡动,3.0
1048,鸡巴,3.0
1049,鸡情,3.0
1050,鸡鸡,3.0
1051,鸳鸯浴,2.0
1052,黄片,3.0
1053,黑丝,2.0
1054,黑丝袜,2.0
1055,龟头,3.0
0,尿道,2
1,子宫,2
2,淫亵,3
3,暴徒,2
4,强暴,3
5,歌妓,2
6,女色,2
7,舞女,2
8,女艺人,2
9,嗜酒,2
10,性兴奋,3
11,荒淫,3
12,潘金莲,3
13,性刺激,3
14,猎奇,2
15,乱伦,3
16,陈冠希,2
17,私生子,2
18,怀孕,2
19,性骚扰,3
20,伴侣,2
21,恶毒,2
22,红灯区,3
23,虐恋,2
24,体液,2
25,悲痛,2
26,阴道口,2
27,女星,2
28,粪便,2
29,放荡不羁,2
30,美少女,2
31,窥视,2
32,色情片,3
33,性侵犯,3
34,更衣,2
35,睾丸,2
36,性交时,3
37,不雅,3
38,露骨,2
39,阴户,2
40,性描写,3
41,伪君子,2
42,艺妓,2
43,有外遇,3
44,性高潮,3
45,全裸,3
46,绯闻,2
47,他妈的,3
48,娱乐场所,2
49,性工作者,3
50,围殴,2
51,情色,3
52,卖艺,2
53,性奴隶,3
54,拷打,2
55,外阴,3
56,宅男,2
57,同性恋,2
58,辱骂,2
59,恶行,2
60,卖春,3
61,女演员,2
62,醉酒,2
63,混蛋,2
64,输精管,3
65,情欲,3
66,粗俗,2
67,受害者,2
68,亲热,2
69,赤裸,2
70,娼,3
71,好赌,2
72,残害,3
73,性行为,3
74,女侍,2
75,美人,2
76,一夜情,3
77,贩毒,2
78,性侵害,3
79,奸杀,3
80,交际花,2
81,邪术,2
82,遗精,2
83,子宫颈,2
84,AV,2
85,金瓶梅,3
86,淫秽,2
87,西门庆,2
88,慰安妇,2
89,放纵,2
90,勃起,2
91,婢女,2
92,奴仆,2
93,婚外情,3
94,亵渎,2
95,会阴,2
96,施暴,2
97,痛打,2
98,人工流产,3
99,阴部,2
100,风流,3
101,尿液,2
102,性快感,3
103,阴囊,2
104,冲动,2
105,私欲,2
106,色情电影,3
107,清纯,2
108,模特儿,2
109,不忠,2
110,生殖器官,2
111,歌女,2
112,有染,3
113,男妓,3
114,杀害,2
115,性暴力,3
116,暧昧关系,3
117,美艳,2
118,性暗示,3
119,生殖器,2
120,美色,2
121,萌系,2
122,男优,3
123,爱抚,2
124,虐杀,3
125,娼妓,3
126,惨况,2
127,鸡奸,3
128,酗酒,2
129,性交易,3
130,宫女,2
131,本性,2
132,轻浮,2
133,青春期,2
134,颜射,3
135,妻妾,2
136,人性,2
